text,label
clit,Hate-Speech
clit,Hate-Speech
clitoris,Hate-Speech
clitoris,Hate-Speech
clits,Hate-Speech
clover clamps,Hate-Speech
clusterfuck,Hate-Speech
cnut,Hate-Speech
cock,Hate-Speech
cock,Hate-Speech
cockface,Hate-Speech
cockhead,Hate-Speech
cockmunch,Hate-Speech
cockmuncher,Hate-Speech
cocks,Hate-Speech
cocks,Hate-Speech
cocksuck,Hate-Speech
cocksucked,Hate-Speech
cocksucker,Hate-Speech
cock-sucker,Hate-Speech
cocksucking,Hate-Speech
cocksucks,Hate-Speech
cocksuka,Hate-Speech
cocksukka,Hate-Speech
cok,Hate-Speech
cokmuncher,Hate-Speech
coksucka,Hate-Speech
coon,Hate-Speech
coon,Hate-Speech
coons,Hate-Speech
coprolagnia,Hate-Speech
coprophilia,Hate-Speech
cornhole,Hate-Speech
cox,Hate-Speech
crap,Hate-Speech
creampie,Hate-Speech
cum,Hate-Speech
cum,Hate-Speech
cummer,Hate-Speech
cumming,Hate-Speech
cumming,Hate-Speech
cums,Hate-Speech
cumshot,Hate-Speech
cumshot,Hate-Speech
cumshots,Hate-Speech
cunilingus,Hate-Speech
cunillingus,Hate-Speech
cunnilingus,Hate-Speech
cunnilingus,Hate-Speech
cunt,Hate-Speech
cunt,Hate-Speech
cuntlick,Hate-Speech
cuntlicker,Hate-Speech
cuntlicking,Hate-Speech
cunts,Hate-Speech
cyalis,Hate-Speech
cyberfuc,Hate-Speech
cyberfuck,Hate-Speech
cyberfucked,Hate-Speech
cyberfucker,Hate-Speech
cyberfuckers,Hate-Speech
cyberfucking,Hate-Speech
d1ck,Hate-Speech
damn,Hate-Speech
darkie,Hate-Speech
date rape,Hate-Speech
daterape,Hate-Speech
deep throat,Hate-Speech
deepthroat,Hate-Speech
dendrophilia,Hate-Speech
dhandachoru,Hate-Speech
dick,Hate-Speech
dick,Hate-Speech
dickhead,Hate-Speech
dildo,Hate-Speech
dildo,Hate-Speech
dildos,Hate-Speech
dingleberries,Hate-Speech
dingleberry,Hate-Speech
dink,Hate-Speech
dinks,Hate-Speech
dirsa,Hate-Speech
dirty pillows,Hate-Speech
dirty sanchez,Hate-Speech
dlck,Hate-Speech
dog style,Hate-Speech
dog-fucker,Hate-Speech
doggie style,Hate-Speech
doggiestyle,Hate-Speech
doggin,Hate-Speech
dogging,Hate-Speech
doggy style,Hate-Speech
doggystyle,Hate-Speech
dolcett,Hate-Speech
domination,Hate-Speech
dominatrix,Hate-Speech
dommes,Hate-Speech
donkey punch,Hate-Speech
donkeyribber,Hate-Speech
doosh,Hate-Speech
double dong,Hate-Speech
double penetration,Hate-Speech
dp action,Hate-Speech
dry hump,Hate-Speech
duche,Hate-Speech
dvda,Hate-Speech
dyke,Hate-Speech
eat my ass,Hate-Speech
ecchi,Hate-Speech
edhavadhu asingama kekuradhukulla odi poidu,Hate-Speech
ejaculate,Hate-Speech
ejaculated,Hate-Speech
ejaculates,Hate-Speech
ejaculating,Hate-Speech
ejaculatings,Hate-Speech
ejaculation,Hate-Speech
ejaculation,Hate-Speech
ejakulate,Hate-Speech
erotic,Hate-Speech
erotism,Hate-Speech
eruma ,Hate-Speech
eruma maadu,Hate-Speech
escort,Hate-Speech
eunuch,Hate-Speech
f_u_c_k,Hate-Speech
f4nny,Hate-Speech
fag,Hate-Speech
fag,Hate-Speech
fagging,Hate-Speech
faggitt,Hate-Speech
faggot,Hate-Speech
faggot,Hate-Speech
faggs,Hate-Speech
fagot,Hate-Speech
fagots,Hate-Speech
fags,Hate-Speech
fanny,Hate-Speech
fannyflaps,Hate-Speech
fannyfucker,Hate-Speech
fanyy,Hate-Speech
fatass,Hate-Speech
fcuk,Hate-Speech
fcuker,Hate-Speech
fcuking,Hate-Speech
fecal,Hate-Speech
feck,Hate-Speech
fecker,Hate-Speech
felch,Hate-Speech
felching,Hate-Speech
fellate,Hate-Speech
fellatio,Hate-Speech
fellatio,Hate-Speech
feltch,Hate-Speech
female squirting,Hate-Speech
femdom,Hate-Speech
figging,Hate-Speech
fingerbang,Hate-Speech
fingerfuck,Hate-Speech
fingerfucked,Hate-Speech
fingerfucker,Hate-Speech
fingerfuckers,Hate-Speech
fingerfucking,Hate-Speech
fingerfucks,Hate-Speech
fingering,Hate-Speech
fistfuck,Hate-Speech
fistfucked,Hate-Speech
fistfucker,Hate-Speech
fistfuckers,Hate-Speech
fistfucking,Hate-Speech
fistfuckings,Hate-Speech
fistfucks,Hate-Speech
fisting,Hate-Speech
flange,Hate-Speech
fook,Hate-Speech
fooker,Hate-Speech
foot fetish,Hate-Speech
footjob,Hate-Speech
frotting,Hate-Speech
fuck,Hate-Speech
fuck,Hate-Speech
fuck buttons,Hate-Speech
fucka,Hate-Speech
fucked,Hate-Speech
fucker,Hate-Speech
fucker,Hate-Speech
fuckers,Hate-Speech
fuckhead,Hate-Speech
fuckheads,Hate-Speech
fuckin,Hate-Speech
fuckin,Hate-Speech
fucking,Hate-Speech
fucking,Hate-Speech
fuckings,Hate-Speech
fuckingshitmotherfucker,Hate-Speech
fuckme,Hate-Speech
fucks,Hate-Speech
fucktards,Hate-Speech
fuckwhit,Hate-Speech
fuckwit,Hate-Speech
fudge packer,Hate-Speech
fudgepacker,Hate-Speech
fudgepacker,Hate-Speech
fuk,Hate-Speech
fuker,Hate-Speech
fukker,Hate-Speech
fukkin,Hate-Speech
fuks,Hate-Speech
fukwhit,Hate-Speech
fukwit,Hate-Speech
futanari,Hate-Speech
fux,Hate-Speech
fux0r,Hate-Speech
Gamer trying to reply in a decent way என் மதத்தில் கூறியுள்ள அனைத்தையும் நான் எடுத்துக்கொள்ள வேண்டும் என்ற அவசியம் எனக்கு இல்லை... பல விஷயங்களில் எ‌ன்னுடைய சுய பகுத்தறிவே போதுமானது நண்பரே 🙂,Non-Hate-Speech
ganesh Sakthi என்னா பண்றிக,Non-Hate-Speech
gang bang,Hate-Speech
gangbang,Hate-Speech
gangbang,Hate-Speech
gangbanged,Hate-Speech
gangbangs,Hate-Speech
gay sex,Hate-Speech
gaylord,Hate-Speech
gaysex,Hate-Speech
genitals,Hate-Speech
giant cock,Hate-Speech
girl on,Hate-Speech
girl on top,Hate-Speech
girls gone wild,Hate-Speech
goatcx,Hate-Speech
goatse,Hate-Speech
goatse,Hate-Speech
God,Hate-Speech
god damn,Hate-Speech
god-dam,Hate-Speech
goddamn,Hate-Speech
goddamned,Hate-Speech
god-damned,Hate-Speech
gokkun,Hate-Speech
golden shower,Hate-Speech
goo girl,Hate-Speech
goodpoop,Hate-Speech
goregasm,Hate-Speech
grope,Hate-Speech
group sex,Hate-Speech
g-spot,Hate-Speech
guro,Hate-Speech
hand job,Hate-Speech
handjob,Hate-Speech
hard core,Hate-Speech
hardcore,Hate-Speech
hardcoresex,Hate-Speech
hell,Hate-Speech
hentai,Hate-Speech
heshe,Hate-Speech
hoar,Hate-Speech
hoare,Hate-Speech
hoer,Hate-Speech
homo,Hate-Speech
homoerotic,Hate-Speech
honkey,Hate-Speech
hooker,Hate-Speech
hore,Hate-Speech
horniest,Hate-Speech
horny,Hate-Speech
horny,Hate-Speech
hot carl,Hate-Speech
hot chick,Hate-Speech
hotsex,Hate-Speech
how to kill,Hate-Speech
how to murder,Hate-Speech
huge fat,Hate-Speech
humping,Hate-Speech
I hate you,Hate-Speech
incest,Hate-Speech
intercourse,Hate-Speech
jack off,Hate-Speech
jackoff,Hate-Speech
jack-off,Hate-Speech
jail bait,Hate-Speech
jailbait,Hate-Speech
jap,Hate-Speech
jelly donut,Hate-Speech
jerk off,Hate-Speech
jerk-off,Hate-Speech
jigaboo,Hate-Speech
jiggaboo,Hate-Speech
jiggerboo,Hate-Speech
jism,Hate-Speech
jiz,Hate-Speech
jizm,Hate-Speech
jizz,Hate-Speech
jizz,Hate-Speech
juggs,Hate-Speech
kawk,Hate-Speech
kike,Hate-Speech
kinbaku,Hate-Speech
kinkster,Hate-Speech
kinky,Hate-Speech
knob,Hate-Speech
knobbing,Hate-Speech
knobead,Hate-Speech
knobed,Hate-Speech
knobend,Hate-Speech
knobhead,Hate-Speech
knobjocky,Hate-Speech
knobjokey,Hate-Speech
kock,Hate-Speech
kondum,Hate-Speech
kondums,Hate-Speech
kum,Hate-Speech
kummer,Hate-Speech
kumming,Hate-Speech
kums,Hate-Speech
kunilingus,Hate-Speech
l3i+ch,Hate-Speech
l3itch,Hate-Speech
labia,Hate-Speech
leather restraint,Hate-Speech
leather straight jacket,Hate-Speech
lemon party,Hate-Speech
livesex,Hate-Speech
lmfao,Hate-Speech
lolita,Hate-Speech
lovemaking,Hate-Speech
lust,Hate-Speech
lusting,Hate-Speech
m0f0,Hate-Speech
m0fo,Hate-Speech
m45terbate,Hate-Speech
ma5terb8,Hate-Speech
ma5terbate,Hate-Speech
make me come,Hate-Speech
male squirting,Hate-Speech
masochist,Hate-Speech
masterb8,Hate-Speech
masterbat*,Hate-Speech
masterbat3,Hate-Speech
masterbate,Hate-Speech
master-bate,Hate-Speech
masterbation,Hate-Speech
masterbations,Hate-Speech
masturbate,Hate-Speech
masturbate,Hate-Speech
masturbating,Hate-Speech
masturbation,Hate-Speech
menage a trois,Hate-Speech
milf,Hate-Speech
missionary position,Hate-Speech
mof0,Hate-Speech
mofo,Hate-Speech
mo-fo,Hate-Speech
mong,Hate-Speech
mothafuck,Hate-Speech
mothafucka,Hate-Speech
mothafuckas,Hate-Speech
mothafuckaz,Hate-Speech
mothafucked,Hate-Speech
mothafucker,Hate-Speech
mothafuckers,Hate-Speech
mothafuckin,Hate-Speech
mothafucking,Hate-Speech
mothafuckings,Hate-Speech
mothafucks,Hate-Speech
motherfuck,Hate-Speech
motherfucked,Hate-Speech
motherfucker,Hate-Speech
motherfucker,Hate-Speech
motherfucker,Hate-Speech
motherfuckers,Hate-Speech
motherfuckin,Hate-Speech
motherfucking,Hate-Speech
motherfuckings,Hate-Speech
motherfuckka,Hate-Speech
motherfucks,Hate-Speech
mound of venus,Hate-Speech
mr hands,Hate-Speech
muff,Hate-Speech
muff diver,Hate-Speech
muffdiving,Hate-Speech
mutha,Hate-Speech
muthafecker,Hate-Speech
muthafuckker,Hate-Speech
muther,Hate-Speech
mutherfucker,Hate-Speech
n1gga,Hate-Speech
n1gger,Hate-Speech
nambla,Hate-Speech
nawashi,Hate-Speech
nazi,Hate-Speech
negro,Hate-Speech
neonazi,Hate-Speech
nig nog,Hate-Speech
nigg3r,Hate-Speech
nigg4h,Hate-Speech
nigga,Hate-Speech
nigga,Hate-Speech
nigga,Hate-Speech
niggah,Hate-Speech
niggas,Hate-Speech
niggaz,Hate-Speech
nigger,Hate-Speech
nigger,Hate-Speech
niggers,Hate-Speech
nimphomania,Hate-Speech
nipple,Hate-Speech
nipples,Hate-Speech
nob,Hate-Speech
nobhead,Hate-Speech
nobjocky,Hate-Speech
nobjokey,Hate-Speech
nsfw,Hate-Speech
nsfw images,Hate-Speech
nude,Hate-Speech
nudity,Hate-Speech
numbnuts,Hate-Speech
nutsack,Hate-Speech
nutten,Hate-Speech
nympho,Hate-Speech
nymphomania,Hate-Speech
octopussy,Hate-Speech
omorashi,Hate-Speech
one cup two girls,Hate-Speech
one guy one jar,Hate-Speech
orgasim,Hate-Speech
orgasims,Hate-Speech
orgasm,Hate-Speech
orgasm,Hate-Speech
orgasms,Hate-Speech
orgy,Hate-Speech
p0rn,Hate-Speech
paedophile,Hate-Speech
paki,Hate-Speech
panties,Hate-Speech
panty,Hate-Speech
pawn,Hate-Speech
pecker,Hate-Speech
pedobear,Hate-Speech
pedophile,Hate-Speech
pegging,Hate-Speech
penis,Hate-Speech
penis,Hate-Speech
penisfucker,Hate-Speech
phone sex,Hate-Speech
phonesex,Hate-Speech
phuck,Hate-Speech
phuk,Hate-Speech
phuked,Hate-Speech
phuking,Hate-Speech
phukked,Hate-Speech
phukking,Hate-Speech
phuks,Hate-Speech
phuq,Hate-Speech
piece of shit,Hate-Speech
pigfucker,Hate-Speech
pikey,Hate-Speech
pimpis,Hate-Speech
piss,Hate-Speech
piss pig,Hate-Speech
pissed,Hate-Speech
pisser,Hate-Speech
pissers,Hate-Speech
pisses,Hate-Speech
pissflaps,Hate-Speech
pissin,Hate-Speech
pissing,Hate-Speech
pissing,Hate-Speech
pissoff,Hate-Speech
pisspig,Hate-Speech
playboy,Hate-Speech
pleasure chest,Hate-Speech
Poda panni,Hate-Speech
pole smoker,Hate-Speech
ponyplay,Hate-Speech
poof,Hate-Speech
poon,Hate-Speech
poontang,Hate-Speech
poop,Hate-Speech
poop chute,Hate-Speech
poopchute,Hate-Speech
porn,Hate-Speech
porn,Hate-Speech
porno,Hate-Speech
porno,Hate-Speech
pornography,Hate-Speech
pornography,Hate-Speech
pornos,Hate-Speech
prick,Hate-Speech
pricks,Hate-Speech
prince albert piercing,Hate-Speech
pron,Hate-Speech
pthc,Hate-Speech
pube,Hate-Speech
pubes,Hate-Speech
punany,Hate-Speech
pusse,Hate-Speech
pussi,Hate-Speech
pussies,Hate-Speech
pussy,Hate-Speech
pussy,Hate-Speech
pussys,Hate-Speech
queaf,Hate-Speech
queef,Hate-Speech
quim,Hate-Speech
raghead,Hate-Speech
raging boner,Hate-Speech
rape,Hate-Speech
raping,Hate-Speech
rapist,Hate-Speech
rectum,Hate-Speech
rectum,Hate-Speech
retard,Hate-Speech
reverse cowgirl,Hate-Speech
rimjaw,Hate-Speech
rimjob,Hate-Speech
rimming,Hate-Speech
rimming,Hate-Speech
rosy palm,Hate-Speech
rosy palm and her 5 sisters,Hate-Speech
rusty trombone,Hate-Speech
s&m,Hate-Speech
s.o.b.,Hate-Speech
s_h_i_t,Hate-Speech
saavu,Hate-Speech
sadism,Hate-Speech
sadist,Hate-Speech
saniyane,Hate-Speech
santorum,Hate-Speech
scat,Hate-Speech
schlong,Hate-Speech
schlong,Hate-Speech
scissoring,Hate-Speech
screwing,Hate-Speech
scroat,Hate-Speech
scrote,Hate-Speech
scrotum,Hate-Speech
semen,Hate-Speech
semen,Hate-Speech
sex,Hate-Speech
sex,Hate-Speech
sexcam,Hate-Speech
sexo,Hate-Speech
sexual,Hate-Speech
sexuality,Hate-Speech
sexually,Hate-Speech
sexy,Hate-Speech
sh!+,Hate-Speech
sh!t,Hate-Speech
sh1t,Hate-Speech
shag,Hate-Speech
shagger,Hate-Speech
shaggin,Hate-Speech
shagging,Hate-Speech
shaved beaver,Hate-Speech
shaved pussy,Hate-Speech
shemale,Hate-Speech
shemale,Hate-Speech
shi+,Hate-Speech
shibari,Hate-Speech
shit,Hate-Speech
shit,Hate-Speech
shitblimp,Hate-Speech
shitdick,Hate-Speech
shite,Hate-Speech
shited,Hate-Speech
shitey,Hate-Speech
shitfuck,Hate-Speech
shitfull,Hate-Speech
shithead,Hate-Speech
shiting,Hate-Speech
shitings,Hate-Speech
shits,Hate-Speech
shitted,Hate-Speech
shitter,Hate-Speech
shitters,Hate-Speech
shitting,Hate-Speech
shittings,Hate-Speech
shitty,Hate-Speech
shitty,Hate-Speech
shota,Hate-Speech
shrimping,Hate-Speech
shut the fuck up,Hate-Speech
shut up,Hate-Speech
skank,Hate-Speech
skeet,Hate-Speech
slanteye,Hate-Speech
slut,Hate-Speech
slut,Hate-Speech
sluts,Hate-Speech
smegma,Hate-Speech
smut,Hate-Speech
smut,Hate-Speech
snatch,Hate-Speech
snatch,Hate-Speech
snowballing,Hate-Speech
sodomize,Hate-Speech
sodomy,Hate-Speech
son-of-a-bitch,Hate-Speech
sotha dhaana thingura,Hate-Speech
spac,Hate-Speech
spastic,Hate-Speech
spic,Hate-Speech
splooge,Hate-Speech
splooge moose,Hate-Speech
spooge,Hate-Speech
spread legs,Hate-Speech
spunk,Hate-Speech
spunk,Hate-Speech
strap on,Hate-Speech
strapon,Hate-Speech
strappado,Hate-Speech
strip club,Hate-Speech
style doggy,Hate-Speech
suck,Hate-Speech
sucks,Hate-Speech
suicide girls,Hate-Speech
sultry women,Hate-Speech
swastika,Hate-Speech
swinger,Hate-Speech
t1tt1e5,Hate-Speech
t1tties,Hate-Speech
tainted love,Hate-Speech
taste my,Hate-Speech
tea bagging,Hate-Speech
teets,Hate-Speech
teez,Hate-Speech
testical,Hate-Speech
testicle,Hate-Speech
text,label
threesome,Hate-Speech
throating,Hate-Speech
thumbzilla,Hate-Speech
tied up,Hate-Speech
tight white,Hate-Speech
tit,Hate-Speech
tit,Hate-Speech
titfuck,Hate-Speech
tits,Hate-Speech
tits,Hate-Speech
titt,Hate-Speech
tittie5,Hate-Speech
tittiefucker,Hate-Speech
titties,Hate-Speech
titties,Hate-Speech
titty,Hate-Speech
tittyfuck,Hate-Speech
tittywank,Hate-Speech
titwank,Hate-Speech
tongue in a,Hate-Speech
topless,Hate-Speech
tosser,Hate-Speech
tosser,Hate-Speech
towelhead,Hate-Speech
tranny,Hate-Speech
tribadism,Hate-Speech
tub girl,Hate-Speech
tubgirl,Hate-Speech
turd,Hate-Speech
tushy,Hate-Speech
tw4t,Hate-Speech
twat,Hate-Speech
twat,Hate-Speech
twathead,Hate-Speech
twatty,Hate-Speech
twink,Hate-Speech
twinkie,Hate-Speech
two girls one cup,Hate-Speech
twunt,Hate-Speech
twunter,Hate-Speech
undressing,Hate-Speech
upskirt,Hate-Speech
urethra play,Hate-Speech
urophilia,Hate-Speech
v14gra,Hate-Speech
v1gra,Hate-Speech
vagina,Hate-Speech
vagina,Hate-Speech
venus mound,Hate-Speech
viagra,Hate-Speech
viagra,Hate-Speech
vibrator,Hate-Speech
violet wand,Hate-Speech
vorarephilia,Hate-Speech
voyeur,Hate-Speech
voyeurweb,Hate-Speech
voyuer,Hate-Speech
vulva,Hate-Speech
vulva,Hate-Speech
w00se,Hate-Speech
wang,Hate-Speech
wank,Hate-Speech
wank,Hate-Speech
wanker,Hate-Speech
wanky,Hate-Speech
wet dream,Hate-Speech
wetback,Hate-Speech
white power,Hate-Speech
whoar,Hate-Speech
whore,Hate-Speech
whore,Hate-Speech
willies,Hate-Speech
willy,Hate-Speech
worldsex,Hate-Speech
wrapping men,Hate-Speech
wrinkled starfish,Hate-Speech
xrated,Hate-Speech
xx,Hate-Speech
xx,Hate-Speech
xxx,Hate-Speech
yaoi,Hate-Speech
yellow showers,Hate-Speech
yiffy,Hate-Speech
zoophilia,Hate-Speech
அருமை நண்பா ,Non-Hate-Speech
அனைவருக்கும் வணக்கம் தமிழ்   பேசுவோம்.. ஆணும் பெண்ணும் கல்யாணம் பண்ணனும் சொல்ற எல்லாருக்கும் ஒரு விஷயம் தெரிஞ்சுனும் உங்களுக்கு யார் இதை சொன்னாங்க... ச*** பண்றது எப்படின்னு சொல்லிக் கொடுத்தாங்களா.. யாருக்கு யாரும் சொல்லிக் கொடுப்பதில்லை யாருக்கு யார் மேல் காதல் வருவது என்று தெரியவில்லை ஆணும் பெண்ணும் தான் வாழ வேண்டுமென்றால் அதர்ஷ் பிபிள் எல்லாம் செத்துப்போவனுமா,Non-Hate-Speech
இது ஒரு மன நோயாளி நீ சொன்ன எல்லாத்துக்கும் தண்டனை உண்டு சட்டப்படி குற்றம் அதை இதோடு செற்காத முட்டாள்  எந்த மதத்திலும் இல்லை என்றால் மதத்தை உருவாக்கின யார் என்று எல்லாத்தையு யார் உருவாக்கினாங்க என்று கேட்டால் முடிவே இறிக்காது ஆதிகால மக்கள் இதல்லாம் செய்து தவறு  என்று அறிந்து வளர வளர தவறு களை கலைந்துதான் இந்த இடத்துக்கு வந்திருக்கிறார்கள் அப்போ பழமை காலம் போல் எல்லாரும் எல்லோருடனும் உஉறவு வைத்துக் கொள்ளலாமே மிருகம் இனப் பெருக்கத்துக்கு பாலியல் வைக்கிது அதே போல் மனிதனும் பாலியல் வைத்திட்டு போகலாமே என்று முட்டாள் தனமா கேற்கிறால் மிருகம் பிறந்தவுடனே நடக்க துடங்கும் அதுதான் இயற்கை மனிதன் பிறந்தவுடன் நடக்க மாட்டான் முட்டாள் பதில்கள் இந்த இனங்களுக்கு இறைவன் நம்பிக்கை இருக்காது காரணம் கடவுளை படைத்தது யார் என்று கேட்பானு(ளு)ங்க இப்படியே கேட்டுட்டு போனால் முடிவே இருக்காது அப்போ இறைவன் அனைவரையும் ஆணாகவோ பெண்ணாகவோ படைத்து இருக்கலாமே இது இயற்கைக்கு புறம்பானது,Hate-Speech
இந்திய ஒன்றியம் கிறித்தவ நாடு இல்லை! மதசார்பற்ற நாடு,Non-Hate-Speech
"இந்தியா ல பல நூற்றாண்டுகளுக்கு முன்பே இருந்த விஷயம், ஆழ்வார்கள் ல ஒருத்தர் இத பத்தி பாடல் எழுதி இருக்கார், கோவில் சிற்பங்கள் ல இருக்கு. வெள்ளையர்கள் தான் இத எதிராக பார்த்தாங்க, அதுக்கு அப்புறம் அவங்களே ஏத்துக்கிட்டாங்க,நாம இப்ப தான் அங்கிகாரம் குடுத்து இருக்கோம், இதையும் இந்த பைத்தியங்க எதிர்க்குதுங்க",Non-Hate-Speech
இறைவனின் மறுபிறவி மனித மிருகங்களால் எந்த தொல்லை வந்தாலும் அதை தாங்கிக்கொண்டு வாழ்கை நடத்தும் திருநங்கை எல்லாம் இறைவனின் திருவிளையாடல்.,Non-Hate-Speech
எருமையே நீ இங்கே வா,Hate-Speech
ஐயப்பன் பிறப்பை ஆதரிக்கின்றவர்கள் ஏன் இதை கொச்சை,Non-Hate-Speech
ஒருசிலர் குடும்பத்தில் கவனிக்கப்படாத சிறுவர்களை தன் போக்கில் போய்க் கொண்டிருப்பார்கள் அப்போது அவர்கள் அன்பை தேடும் பொழுது அது பெண்களிடம் மட்டும் தான் அறிந்து கொள்ள முடியும் அவ்வாறு இருக்கும் சிறுவர்களுக்கு அந்தப் பெண்ணுடைய அணிந்து பார்ப்பதற்கு ஆர்வமாக இருக்கும் ஒருசில மாற்றங்கள் ஏற்படும் ஆண்கள் இச்சைக்காக எத்தனையோ சிறுவர்களை பாலியல் பண்ணிக் கொண்டுதான் இருக்கிறார்கள் அந்த சிறுவர்கள் மணக்கோலத்தில் இருப்பார்கள் அவர்களில் ஒரு வயதுக்குப் பின் உணர்ந்து கொள்வார்கள்,Non-Hate-Speech
சங்கிகளை எதிர்க்கும் குயர்கள்,Non-Hate-Speech
சமுதாயத்தால் அவர்கள் புறக்கணிக்கப்படும் போது இயலாமையின் வெளிப்பாடாகவே வேறுவழியின்றி இவ்வாறு  நடந்துகொள்கிறார்கள்,Non-Hate-Speech
நா பார்லர் வச்சி இருக்க வாங்க,Non-Hate-Speech
நான் உனக்கு முட்டாளாகத் தெரிகிறேனா,Hate-Speech
நான் உன் முகத்தை உடைப்பேன்,Hate-Speech
நான் உன்னுடன் பிரிந்து செல்ல விரும்புகிறேன்..நரகத்திற்குச் செல்லுங்கள்,Hate-Speech
நான் ஒரு பெண்..... என்னை விட நீங்க அழகு,Non-Hate-Speech
நீ ஒரு சைக்கோ,Hate-Speech
நீ ஒரு முட்டாள்,Hate-Speech
நீ மொத ஆம்பலயா பொம்பலயா அத சொல்லு மூதேவி,Hate-Speech
பப்ளிக்ள போனா உங்கள் மாறி ஆளுங்க violence கெளப்பிட்டு இருப்பீங்கனு தான் அதிகமா வெளிய தல காட்ல போல!,Hate-Speech
மதத்தையும்...சாதியையும் முருக கட்டி பிடித்து கொண்டிருப்பவர்களுக்கு இது தவறு,Non-Hate-Speech
மனித இனம் விரைவில் அழியும்னு சொன்னாங்க . அப்ப நான் நம்பவில்லை . அப்ப புரியவில்லை.இப்ப புரியுது,Hate-Speech
மூதேவி,Hate-Speech
��,Hate-Speech
அதிக,Hate-Speech
இல்லை,Hate-Speech
பொருள்,Hate-Speech
அளவு,Hate-Speech
இறப்பு,Hate-Speech
மட்டும்,Hate-Speech
அறிவியல்,Hate-Speech
குறைந்த,Hate-Speech
இதனை,Hate-Speech
நோய்,Hate-Speech
சிறு,Hate-Speech
பழைய,Hate-Speech
அதிகமாக,Hate-Speech
என்,Hate-Speech
செய்யப்பட்ட,Hate-Speech
நீண்ட,Hate-Speech
விட்டு,Hate-Speech
எண்ணிக்கை,Hate-Speech
அடி,Hate-Speech
துணை,Hate-Speech
தன்மை,Hate-Speech
பணி,Hate-Speech
குறைவான,Hate-Speech
இறுதி,Hate-Speech
